77,456
81,454
75,481
77,486
74,560
73,469
82,503
83,501
75,362
74,420
74,473
79,426
98,401
98,478
76,587
86,580
84,398
89,402
80,312
74,524
70,536
72,559
91,586
71,390
87,501
93,487
87,531
98,542
88,546
81,463
97,438
76,425
87,566
82,543
98,536
77,428
72,446
77,577
81,573
87,527
78,557
84,359
99,544
84,394
90,346
81,434
71,367
99,434
84,594
75,472
71,583
71,341
89,417
70,531
90,447
79,566
71,477
82,592
81,535
81,371
95,451
73,544
88,401
72,530
71,317
92,418
70,488
90,329
84,480
98,375
97,492
73,569
87,583
97,400
95,520
74,466
99,360
77,364
83,361
99,594
94,380
71,365
83,545
97,512
93,390
93,312
75,490
97,453
81,485
83,580
90,393
94,517
81,361
90,433
84,357
95,500
71,343
78,594
88,538
75,413
82,499
87,324
93,503
78,380
88,343
86,509
74,364
93,524
77,323
79,483
82,459
94,554
86,536
75,544
89,475
72,368
70,349
91,419
84,471
84,556
71,368
87,473
79,515
94,394
74,444
83,424
90,475
87,531
80,370
90,312
94,352
99,389
72,553
85,588
94,370
76,301
81,541
80,494
90,422
93,411
98,439
90,438
78,522
88,425
90,440
81,551
73,403
73,478
75,331
84,591
85,406
99,309
77,595
97,391
99,583
88,505
82,514
71,310
78,420
82,336
81,591
87,426
85,583
83,372
83,567
73,546
72,534
85,501
93,565
73,406
73,428
96,359
74,444
97,469
97,530
90,336
73,301
98,478
70,474
74,490
86,518
76,445
72,426
90,599
74,389
89,560
96,597
99,489
91,371
70,520
84,454
92,388
79,537
93,449
95,485
93,373
79,410
96,391
85,404
78,490
99,489
80,509
70,352
77,323
71,484
71,382
88,545
90,307
95,585
95,460
74,367
74,599
87,382
97,488
89,351
88,363
85,435
79,418
97,562
99,400
85,524
87,430
76,302
96,460
93,343
91,598
95,473
86,537
92,371
97,371
81,465
79,557
86,304
84,516
85,343
90,330
98,523
80,424
90,342
98,589
83,368
85,482
92,311
94,483
76,432
78,411
73,570
92,383
94,446
89,377
70,370
92,352
89,528
91,511
94,442
94,555
78,542
90,374
95,394
